code,name,title,avatar_url,description
1848,雅龄,甜品师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/4kA7FQRhmr.jpg,来自台湾，伦敦定居多年，对于甜品有着极大的热情和兴趣，进入法国蓝带学院学习西点制作，擅长英式下午茶以及法式甜品的制作
1851,又伊鲜,味匠世家,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/B5WRbRHdjM.jpg,来自日本九州大分县的拥有150多年历史的酱油工坊“Marumata”，150多年来，一直恪守匠心，只为酿造出一滴更好的酱油。
1853,Kangsan,日餐主厨,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/QtRzd6TtTN.jpg,日餐主厨
1854,洋洋,甜品师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/3n4AHA3xsW.jpg,擅长将年轻一代对于甜品的理解，融入到自己的作品中
1856,叶卫,世界级甜品大师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/zw2PwdNX4c.jpg,世界级甜品大师，代表了中国西点界的最高水准，并开创了国内料理化甜品的先河。
1864,林老师,资深中点师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/Wi8r8rNmrZ.jpg,资深中点师
1867,Anthony,西餐料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/faZxntWsnz.jpg,西餐料理人
1870,PP,西餐厨师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/irQyBySbPD.jpg,西餐厨师
1884,朱彧,日餐主厨,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/GDemdy7325.jpg,日餐主厨
1896,金玉蓉,资深中餐厨师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/DGyQTjYHyy.jpg,从事餐饮工作40余年，1973年进入小绍兴集团公司，并在喜福会酒楼、上海名轩等高等食府任职。
1897,张老师,资深中点师,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/8WWDZaX5QY.jpg,资深中点师
1905,诺琪琪,料理达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/NTMQRfbnNz.jpg,料理达人
2005,Sammy,美食达人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/TJhaK6Gzj3.jpg,美食达人
2024,豌豆儿,料理人,https://ak-artisan-production.oss-cn-hangzhou.aliyuncs.com/users/avatar/ANyYPcNysE.jpg,料理人
